endpoint_or_pdu,transport,role,axis,current_state,test_file,gap,severity,action
POST /api/v1/sms/send,HTTP,client,A1,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,client,A2,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,client,A3,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,client,C-billing,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_child,A1,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_child,A2,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_child,A3,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_child,C-billing,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_parent,A3,UNKNOWN,,,, 
POST /api/v1/sms/send,HTTP,subaccount_parent,C-billing,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,client,A1,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,client,A2,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,client,A3,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,client,C-billing,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_child,A1,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_child,A2,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_child,A3,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_child,C-billing,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_parent,A1,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_parent,A2,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_parent,A3,UNKNOWN,,,, 
POST /api/v1/sms/batch,HTTP,subaccount_parent,C-billing,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,client,A1,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,client,A2,UNKNOWN,,,, 
GET /api/v1/sms/status/{id},HTTP,client,C-visibility,UNKNOWN,,,, 
