surface,transport,role,axis,current_state,test_file,gap,severity,action
POST /api/v1/sms/send,http,client,A1,DRIFT,,Status code: openapi=202 code=200,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
POST /api/v1/sms/batch,http,client,A1,DRIFT,,Status code: openapi=202 code=200,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/sms/status/{id},http,client,A1,OK,,,,
GET /api/v1/sms/history,http,client,A1,OK,,,,
GET /api/v1/sms/scheduled,http,client,A1,OK,,,,
DELETE /api/v1/sms/{id},http,client,A1,OK,,,,
GET /api/v1/account/balance,http,client,A1,DRIFT,,Extra fields client_id and updated_at undocumented,minor,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/account/stats,http,client,A1,DRIFT,,Schema completely wrong: openapi={total/counts} vs actual time-series analytics object,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /health,http,client,A1,OK,,,,
GET /health/live,http,client,A1,OK,,,,
GET /health/ready,http,client,A1,OK,,,,
GET /metrics,http,client,A1,MISSING,,In openapi not in client router (registered outside client gateway),minor,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /docs,http,client,A1,MISSING,,In router not in openapi,minor,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /docs/swagger,http,client,A1,MISSING,,In router not in openapi,minor,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /docs/grpc,http,client,A1,MISSING,,In router not in openapi,minor,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /docs/openapi.yaml,http,client,A1,MISSING,,In router not in openapi,minor,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
POST /api/v1/webhooks,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/webhooks,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/webhooks/{id},http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
PUT /api/v1/webhooks/{id},http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
DELETE /api/v1/webhooks/{id},http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
POST /api/v1/lookup,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
POST /api/v1/lookup/bulk,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/lookup/history,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
POST /api/v1/templates,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/templates,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/templates/{id},http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
PUT /api/v1/templates/{id},http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
DELETE /api/v1/templates/{id},http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/templates/{id}/audit,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
POST /api/v1/cascade/deliveries,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/cascade/deliveries,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/cascade/deliveries/{id},http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
GET /api/v1/cascade/stats,http,client,A1,MISSING,,In router not in openapi,major,plan:docs/superpowers/plans/2026-04-21-fix-openapi-drift.md
